/TITLE,THIS IS REULT OF BH056-L-8-50Mat
   0.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.20244E+01    0.58450E-01    0.75222E-03    0.24010E-03
            2.    0.16316E+01    0.20706E+00    0.46486E-03    0.15236E-03
            3.    0.23077E+01    0.15388E+00    0.56974E-03    0.20027E-03
            4.    0.12702E+01   -0.53664E-01    0.53644E-03    0.19331E-03
            5.    0.97377E+00    0.55331E+00    0.48999E-02    0.27223E-02
            6.    0.10748E+01    0.20860E+00    0.46357E-02    0.17589E-02
            7.    0.77363E+00    0.42031E+00    0.41996E-02    0.22049E-02
            8.    0.91976E+00    0.70415E+00    0.48113E-02    0.28849E-02
            9.    0.39885E-01   -0.14969E-01    0.24810E-03    0.14401E-03
           10.    0.99589E-01    0.57964E-01    0.21546E-03    0.69545E-04
           11.    0.35110E-01   -0.14797E-02    0.45400E-04    0.13822E-04
           12.    0.11081E+00    0.15403E+00    0.10360E-02    0.60404E-03
           13.    0.18230E+02    0.19055E+02    0.16499E-02    0.11897E-02
           14.    0.16946E+02    0.16633E+02    0.13517E-02    0.96247E-03
           15.    0.16791E+02    0.17053E+02    0.17343E-02    0.12441E-02
           16.    0.17432E+02    0.17336E+02    0.14572E-02    0.10397E-02
           17.    0.48713E+01    0.66204E+01    0.51778E-02    0.39697E-02
           18.    0.57473E+01    0.72200E+01    0.46563E-02    0.34962E-02
           19.    0.73113E+01    0.96898E+01    0.49786E-02    0.37778E-02
           20.    0.30382E+01    0.31072E+01    0.35719E-02    0.25879E-02
           21.    0.90485E+01    0.91689E+01    0.96607E-03    0.69193E-03
           22.    0.14110E+02    0.13847E+02    0.11166E-02    0.79491E-03
           23.    0.18065E+02    0.17355E+02    0.13810E-02    0.97930E-03
           24.    0.68207E+01    0.64618E+01    0.85223E-03    0.61280E-03
           25.    0.12699E+01    0.37560E+00    0.49355E-02    0.18902E-02
           26.    0.13970E+01    0.71270E-01    0.50096E-02    0.18584E-02
           27.    0.16578E+01    0.62169E+00    0.32389E-02    0.14782E-02
           28.    0.14382E+01   -0.26682E+00    0.41892E-02    0.18240E-02
           29.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           30.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           31.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           32.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           33.    0.17602E+01    0.10502E+01    0.39149E-02    0.25214E-02
           34.    0.32106E+01    0.28301E+01    0.37787E-02    0.26082E-02
           35.    0.25886E+01    0.22569E+01    0.60025E-02    0.41735E-02
           36.    0.11011E+01    0.78671E+00    0.57457E-02    0.38388E-02
           37.    0.58304E+00    0.41666E+00    0.42851E-02    0.28254E-02
           38.    0.88532E+00    0.82541E+00    0.35581E-02    0.24933E-02
           39.    0.12390E+01    0.10658E+01    0.32314E-02    0.22555E-02
           40.    0.64956E+00    0.49761E+00    0.38413E-02    0.25476E-02
           41.    0.48306E+01   -0.10502E+01    0.13446E-02    0.44789E-03
