/TITLE,THIS IS REULT OF BH056-L-8-50Mat
 120.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.47735E+01    0.37500E+01    0.17352E-02    0.11760E-02
            2.    0.44789E+01    0.38967E+01    0.12727E-02    0.88462E-03
            3.    0.56000E+01    0.48351E+01    0.13509E-02    0.93862E-03
            4.    0.32367E+01    0.37490E+01    0.14100E-02    0.99723E-03
            5.    0.38761E+01    0.17589E+01    0.19651E-01    0.10369E-01
            6.    0.38703E+01    0.25984E+01    0.16852E-01    0.10445E-01
            7.    0.31336E+01    0.13300E+01    0.17152E-01    0.89624E-02
            8.    0.39558E+01    0.97531E+00    0.20377E-01    0.96016E-02
            9.    0.17583E-01    0.26280E-01    0.12575E-03    0.71939E-04
           10.    0.48818E-01    0.45647E-01    0.10536E-03    0.95685E-04
           11.    0.14767E-01    0.42714E-01    0.24075E-04    0.20522E-04
           12.    0.58947E-01   -0.19232E-01    0.60785E-03    0.36815E-03
           13.    0.20483E+02   -0.77786E+00    0.18556E-02    0.53505E-03
           14.    0.17335E+02    0.37844E+00    0.13823E-02    0.40455E-03
           15.    0.17998E+02    0.56454E-02    0.18611E-02    0.55995E-03
           16.    0.18993E+02    0.18577E+00    0.15895E-02    0.46503E-03
           17.    0.21839E+02   -0.10694E+02    0.23151E-01    0.71969E-02
           18.    0.26226E+02   -0.66229E+01    0.21176E-01    0.66322E-02
           19.    0.34104E+02   -0.14366E+02    0.23264E-01    0.66610E-02
           20.    0.15102E+02    0.19776E+01    0.19229E-01    0.73323E-02
           21.    0.77082E+01    0.78819E-02    0.82389E-03    0.24843E-03
           22.    0.86702E+01    0.49059E+00    0.68504E-03    0.20726E-03
           23.    0.16080E+02    0.71832E+00    0.12301E-02    0.36360E-03
           24.    0.52448E+01    0.51752E+00    0.67745E-03    0.20997E-03
           25.    0.23854E+01    0.17929E+01    0.92382E-02    0.62873E-02
           26.    0.26243E+01    0.27601E+01    0.94410E-02    0.68875E-02
           27.    0.27812E+01    0.23214E+01    0.54421E-02    0.36548E-02
           28.    0.25719E+01    0.33904E+01    0.72821E-02    0.52401E-02
           29.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           30.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           31.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           32.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           33.    0.34266E+01    0.22522E+01    0.74824E-02    0.49354E-02
           34.    0.33898E+01    0.24655E+01    0.40853E-02    0.26726E-02
           35.    0.22153E+01    0.14270E+01    0.52112E-02    0.34454E-02
           36.    0.14825E+01    0.13708E+01    0.79584E-02    0.56103E-02
           37.    0.38346E+00    0.79922E-01    0.27552E-02    0.13359E-02
           38.    0.54279E+00    0.16404E+00    0.21330E-02    0.11389E-02
           39.    0.73362E+00    0.16918E+00    0.19733E-02    0.92559E-03
           40.    0.43612E+00    0.44511E-01    0.26599E-02    0.13948E-02
           41.    0.60973E+01    0.77287E+01    0.16744E-02    0.12402E-02
           42.    0.38394E+01    0.37273E+01    0.16796E-02    0.10753E-02
           43.    0.62564E+01    0.73817E+01    0.14354E-02    0.10129E-02
           44.    0.98338E+01    0.91689E+01    0.18272E-02    0.12547E-02
           45.    0.13648E+01    0.49941E+00    0.15698E-02    0.60945E-03
           46.    0.89051E+00    0.38271E+00    0.19290E-02    0.85149E-03
           47.    0.11330E+01    0.59537E+00    0.15062E-02    0.72558E-03
           48.    0.69552E+00    0.15501E+00    0.21292E-02    0.11999E-02
           49.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           50.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           51.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           52.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           53.    0.73335E+00    0.45079E+00    0.11331E-01    0.82203E-02
           54.    0.66501E+00    0.10120E+01    0.50162E-02    0.37226E-02
           55.    0.32663E+00    0.47009E+00    0.84491E-02    0.64869E-02
           56.    0.34499E+00    0.40330E+00    0.15848E-01    0.11863E-01
           57.    0.10011E+01    0.13337E+01    0.48787E-02    0.37110E-02
           58.    0.13551E+01    0.21116E+01    0.58708E-02    0.45224E-02
           59.    0.14198E+01    0.17777E+01    0.56340E-02    0.42617E-02
           60.    0.12949E+01    0.10886E+01    0.59263E-02    0.41847E-02
           61.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           62.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           63.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           64.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           65.    0.15730E+01   -0.93775E+00    0.57611E-02    0.19781E-02
           66.    0.21733E+01   -0.28836E+00    0.59956E-02    0.31078E-02
           67.    0.17415E+01   -0.18635E+01    0.42025E-02    0.12422E-02
           68.    0.12093E+01    0.59421E+00    0.13931E-01    0.61800E-02
           69.    0.23084E+01    0.18902E+01    0.49055E-02    0.21955E-02
           70.    0.85636E+00    0.13772E+01    0.43980E-02    0.27732E-02
           71.    0.15531E+01    0.13740E+01    0.46269E-02    0.19626E-02
           72.    0.12375E+01   -0.98487E-01    0.10964E-01    0.49660E-02
           73.    0.20183E+02    0.19769E+02    0.17209E-02    0.12263E-02
           74.    0.45137E+01    0.45877E+01    0.72815E-03    0.52549E-03
           75.    0.41421E+01    0.40032E+01    0.96140E-03    0.69089E-03
           76.    0.13712E+02    0.13597E+02    0.12537E-02    0.89625E-03
           77.    0.18099E+01    0.99220E+00    0.17276E-03    0.10527E-03
           78.    0.50320E+00    0.95194E-01    0.45127E-04    0.22899E-04
           79.    0.39000E+00    0.21587E+00    0.42277E-04    0.28165E-04
           80.    0.27919E+01    0.28193E+01    0.42561E-03    0.31287E-03
           81.    0.22091E+01    0.25755E+00    0.36676E-03    0.13702E-03
           82.    0.42165E+01    0.13472E+00    0.84658E-03    0.28547E-03
           83.    0.24761E+01    0.93826E-01    0.50497E-03    0.17892E-03
           84.    0.32875E-02    0.32265E-03    0.48567E-03    0.24000E-03
           85.    0.52355E+01    0.22079E+01    0.28299E-01    0.11213E-01
           86.    0.22500E+01    0.29327E+00    0.54480E-01    0.17720E-01
           87.    0.27733E+01   -0.60617E+00    0.64228E-01    0.18876E-01
           88.    0.21223E+01   -0.38661E+00    0.49488E-01    0.16253E-01
           89.    0.26198E+01   -0.83114E-01    0.49460E-02    0.15984E-02
           90.    0.17564E+01    0.16989E-02    0.47879E-02    0.15874E-02
           91.    0.15561E+01   -0.13759E+00    0.51775E-02    0.16600E-02
           92.    0.24052E+01    0.49908E+00    0.51400E-02    0.19929E-02
           93.    0.58032E+01    0.56768E+01    0.12015E-02    0.85563E-03
           94.    0.66691E-01    0.45352E-01    0.96600E-03    0.64778E-03
           95.    0.41439E+00    0.48015E+00    0.52620E-03    0.36946E-03
           96.    0.16109E+01    0.18709E+01    0.55899E-03    0.40172E-03
           97.    0.27531E+01    0.83304E+00    0.17922E-01    0.10074E-01
           98.    0.17502E+01    0.15264E+01    0.24027E-01    0.16340E-01
           99.    0.20136E+01    0.21590E+01    0.23686E-01    0.16717E-01
          100.    0.30216E+01    0.15646E+01    0.19225E-01    0.11807E-01
          101.    0.12873E+01    0.59678E+00    0.10579E-01    0.61940E-02
          102.    0.88113E+00   -0.12066E-01    0.11495E-01    0.57943E-02
          103.    0.10334E+01    0.10838E+00    0.17787E-01    0.88236E-02
          104.    0.12463E+01    0.46535E+00    0.10082E-01    0.59274E-02
          105.    0.67562E+01    0.41701E+01    0.24501E-02    0.12676E-02
          106.    0.11415E+02   -0.61078E+01    0.49813E-02    0.21800E-02
          107.    0.51520E+01    0.28386E+01    0.34029E-02    0.13682E-02
          108.    0.77452E+01    0.23779E+01    0.68785E-02    0.27581E-02
          109.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          110.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          111.    0.37624E+00    0.69135E+00    0.10322E-02    0.88266E-03
          112.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          113.    0.10504E+02    0.93496E+01    0.13156E-02    0.92538E-03
          114.    0.12008E+02    0.11092E+02    0.12001E-02    0.85991E-03
          115.    0.65625E-02    0.41151E-02    0.50463E-03    0.31942E-03
          116.    0.23110E+00    0.16834E+00    0.10629E-02    0.75725E-03
          117.    0.26288E+00    0.34345E+00    0.35702E-02    0.27405E-02
          118.    0.95255E-01    0.12949E+00    0.19087E-02    0.13748E-02
          119.    0.21580E+00    0.35357E+00    0.66269E-02    0.56226E-02
          120.    0.89208E+00    0.10243E+01    0.25760E-02    0.19824E-02
          121.    0.99858E+01    0.10045E+02    0.19827E-02    0.14289E-02
          122.    0.50954E+01    0.30554E+01    0.23778E-02    0.15918E-02
          123.    0.17311E+02    0.19279E+02    0.23310E-02    0.16951E-02
          124.    0.52686E+01    0.63076E+01    0.20909E-02    0.15076E-02
          125.    0.18109E+02   -0.16348E+01    0.18080E-02    0.53047E-03
