/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  20.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
            1.    0.23830E+01   -0.42110E+00    0.94478E-03    0.26307E-03
            2.    0.26983E+01    0.44768E-01    0.77984E-03    0.24855E-03
            3.    0.36824E+01   -0.44572E-01    0.92597E-03    0.30073E-03
            4.    0.18814E+01    0.37335E+00    0.67298E-03    0.23195E-03
            5.    0.64527E+00    0.31761E+00    0.32330E-02    0.16721E-02
            6.    0.77527E+00    0.62422E-01    0.33331E-02    0.11257E-02
            7.    0.52025E+00    0.21843E+00    0.28246E-02    0.12787E-02
            8.    0.58176E+00    0.39609E+00    0.30823E-02    0.17181E-02
            9.    0.26674E-01   -0.16308E-01    0.21415E-03    0.83911E-04
           10.    0.35345E-01    0.38075E-01    0.52149E-04    0.40867E-04
           11.    0.67003E-01   -0.64389E-01    0.68427E-04    0.40974E-04
           12.    0.89066E-01   -0.23493E-02    0.55414E-03    0.17006E-03
           13.    0.40388E+01    0.40305E+01    0.36782E-03    0.26283E-03
           14.    0.14051E+01    0.11530E+01    0.11331E-03    0.75222E-04
           15.    0.26263E+01    0.23867E+01    0.27413E-03    0.19114E-03
           16.    0.28366E+01    0.26926E+01    0.23939E-03    0.16906E-03
           17.    0.28193E+01    0.37640E+01    0.29890E-02    0.22842E-02
           18.    0.33918E+01    0.43100E+01    0.27429E-02    0.20628E-02
           19.    0.43233E+01    0.57480E+01    0.29424E-02    0.22322E-02
           20.    0.17257E+01    0.17494E+01    0.19806E-02    0.14279E-02
           21.    0.20499E+01    0.23747E+00    0.20684E-03    0.68302E-04
           22.    0.83287E+01    0.20621E+00    0.66094E-03    0.20745E-03
           23.    0.34546E+01    0.30928E+00    0.26311E-03    0.81329E-04
           24.    0.24529E+01    0.12112E+00    0.28122E-03    0.96180E-04
           25.    0.18658E+01    0.55081E+00    0.73052E-02    0.28361E-02
           26.    0.19742E+01   -0.23503E-01    0.70461E-02    0.23380E-02
           27.    0.19245E+01    0.12471E+00    0.38439E-02    0.14616E-02
           28.    0.17881E+01   -0.20971E+00    0.48216E-02    0.19155E-02
           29.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           30.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           31.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           32.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           33.    0.68068E+01    0.28620E+01    0.14319E-01    0.56639E-02
           34.    0.83060E+01    0.21279E+01    0.97640E-02    0.39977E-02
           35.    0.57252E+01    0.15302E+01    0.13226E-01    0.47997E-02
           36.    0.32151E+01    0.47065E+00    0.16958E-01    0.57194E-02
           37.    0.73208E+00    0.55638E+00    0.54752E-02    0.29473E-02
           38.    0.12742E+01    0.38072E+00    0.54484E-02    0.22187E-02
           39.    0.20819E+01    0.96335E+00    0.50950E-02    0.23363E-02
           40.    0.11746E+01    0.85232E+00    0.72050E-02    0.36065E-02
           41.    0.51328E+01   -0.59139E+00    0.14193E-02    0.43618E-03
           42.    0.33553E+01    0.61966E+00    0.13713E-02    0.49390E-03
           43.    0.54457E+01   -0.11137E+01    0.12787E-02    0.37108E-03
           44.    0.74693E+01    0.91625E+00    0.13855E-02    0.46011E-03
           45.    0.21040E+01    0.18639E+01    0.24796E-02    0.16219E-02
           46.    0.13340E+01    0.98832E+00    0.30002E-02    0.19163E-02
           47.    0.18717E+01    0.16154E+01    0.25443E-02    0.16636E-02
           48.    0.88298E+00    0.25153E+00    0.24024E-02    0.95975E-03
           49.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           50.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           51.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           52.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           53.    0.79320E+00    0.36807E+00    0.11613E-01    0.48737E-02
           54.    0.68410E+00   -0.28518E+00    0.50637E-02    0.21600E-02
           55.    0.32696E+00   -0.12134E+00    0.82655E-02    0.29119E-02
           56.    0.35612E+00   -0.19054E-01    0.16339E-01    0.58592E-02
           57.    0.16273E+01   -0.46054E+00    0.78397E-02    0.23923E-02
           58.    0.21624E+01   -0.11149E+01    0.93819E-02    0.29221E-02
           59.    0.22573E+01   -0.55726E+00    0.89401E-02    0.24710E-02
           60.    0.19241E+01    0.34764E+00    0.88699E-02    0.26221E-02
           61.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           62.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           63.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           64.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
           65.    0.20343E+01    0.70321E+00    0.66509E-02    0.30054E-02
           66.    0.18877E+01    0.53839E+00    0.49973E-02    0.23212E-02
           67.    0.24135E+01    0.10535E+01    0.57465E-02    0.27514E-02
           68.    0.78045E+00    0.11149E+01    0.75979E-02    0.32289E-02
           69.    0.46997E+00    0.24503E+00    0.10410E-02    0.52649E-03
           70.    0.34349E+00    0.17831E+00    0.18528E-02    0.84241E-03
           71.    0.42363E+00    0.10120E+00    0.13096E-02    0.50626E-03
